iso3,pays,score_LAN,score_GEO,score_RES,score_VUL,score_HIST,score_MON,score_REP,score_NOR,score_SP,score_POIDS,score_MOB,score_ECO,total,pib_mds_usd,annee_pib,part_pib_mondial_pct,idh,annee_idh,rente_ressources_mds_usd,ndgain_vulnerabilite,henley_destinations,softpower_rang,co2_cumule_t_par_hab
EGY,Égypte,2,3,1,2,0,0,1,1,1,1,0,1,13,389.1,2024,0.35,0.754,2023,20.0,0.411,49,40,64
MUS,Maurice,2,3,0,2,0,2,0,1,0,0,2,1,13,14.9,2024,0.01,0.806,2023,0.0,0.412,147,96,107
MAR,Maroc,2,3,0,2,0,1,1,1,1,0,1,0,12,160.6,2024,0.14,0.71,2023,0.6,0.368,71,50,53
PHL,Philippines,2,2,1,1,0,1,1,1,1,1,1,0,12,461.7,2024,0.41,0.72,2023,9.1,0.444,65,54,34
CRI,Costa Rica,2,2,0,2,1,1,1,1,0,0,2,0,12,96.7,2024,0.09,0.833,2023,0.7,0.376,148,73,56
TUN,Tunisie,2,3,0,2,0,1,0,1,0,0,1,1,11,51.4,2024,0.05,0.746,2023,1.2,0.379,66,75,87
LBY,Libye,2,3,2,2,0,0,0,0,0,0,0,2,11,48.5,2024,0.04,0.721,2023,29.6,0.416,39,127,337
ECU,Équateur,2,2,1,1,1,0,1,1,0,0,1,1,11,123.8,2024,0.11,0.777,2023,8.3,0.461,93,93,77
BHS,Bahamas,3,2,0,1,0,0,0,1,0,0,2,2,11,15.8,2024,0.01,0.82,2023,0.0,0.458,158,86,450
BRB,Barbade,3,2,0,2,0,0,0,1,0,0,2,1,11,7.6,2024,0.01,0.811,2023,0.0,0.371,163,145,226
VNM,Vietnam,0,3,1,1,0,1,1,1,1,1,0,0,10,476.3,2024,0.43,0.766,2023,12.1,0.468,48,52,56
IRQ,Irak,2,1,3,1,0,0,1,0,0,1,0,1,10,279.6,2024,0.25,0.695,2023,121.5,0.436,29,98,116
GTM,Guatemala,2,2,0,1,1,1,0,1,0,0,2,0,10,113.2,2024,0.1,0.662,2023,2.2,0.434,132,126,28
DOM,Rép. dominicaine,2,2,0,1,1,1,0,1,0,0,1,1,10,124.3,2024,0.11,0.776,2023,2.6,0.433,71,80,76
JAM,Jamaïque,3,2,0,1,0,1,0,1,0,0,1,1,10,22.0,2024,0.02,0.72,2023,0.1,0.422,85,87,171
ALB,Albanie,0,2,0,2,1,1,0,1,0,0,2,1,10,27.0,2024,0.02,0.81,2023,0.4,0.38,121,102,130
ATG,Antigua-et-Barbuda,3,2,0,1,0,0,0,0,0,0,2,2,10,2.2,2024,0.0,0.851,2023,0.0,0.468,154,176,287
AZE,Azerbaïdjan,0,1,2,2,0,1,0,1,0,0,1,2,10,74.4,2024,0.07,0.789,2023,22.3,0.404,67,85,258
BIH,Bosnie-Herzégovine,0,1,0,3,1,0,0,1,0,0,2,2,10,29.7,2024,0.03,0.804,2023,0.2,0.347,121,109,330
GRD,Grenade,3,2,0,2,0,0,0,0,0,0,2,1,10,1.4,2024,0.0,0.791,2023,0.0,0.383,147,171,82
GUY,Guyana,3,2,1,1,0,1,0,0,0,0,1,1,10,24.7,2024,0.02,0.776,2023,8.3,0.43,88,160,141
HND,Honduras,2,2,0,1,1,1,0,1,0,0,2,0,10,37.0,2024,0.03,0.645,2023,0.5,0.445,129,131,29
PRY,Paraguay,2,1,0,2,1,1,0,1,0,0,2,0,10,44.7,2024,0.04,0.756,2023,0.6,0.372,145,78,30
LCA,Sainte-Lucie,3,2,0,2,0,0,0,0,0,0,2,1,10,2.6,2024,0.0,0.748,2023,0.0,0.375,144,178,92
SMR,Saint-Marin,0,1,0,3,1,0,0,1,0,0,2,2,10,2.0,2023,0.0,0.915,2023,0.0,,166,132,
SYC,Seychelles,2,2,0,1,0,1,0,1,0,0,2,1,10,2.2,2024,0.0,0.848,2023,0.0,0.444,154,150,133
